Sheila,Hwee,sheila@dev,Spouse
Barry,Neagle,bneagle@allego.com,Sales
Ethan,Pang,ethan@dev,Son
Dev,ChannelAdmin,dev.channeladmin@dev,-
Ruby,Kennedy,ruby@dev,
Yuchun,Lee,ylee@dev,Chief Card Counter
Hokkun,1031\,hokkun.qa@dev,-
Jason,Doe,jasondoe,-
Ayush,Jain,ayush.jain@mindbowser.com,CEO
"Rob® ""Flash""","Swiston, Esq.",Rob@dev,Job Title
Ruby2,Kennedy,ruby2@dev,Ruby test user #2
CA,Chalimadugu,sc.ca@dev,
Eddie,Spaghetti,echin@dev,v3
Yuchun,Lee,ylee.sb,Founder
Ed,Chin,echin1999@gmail.com,Janitor
CR,Chalimadugu,sc.cr@dev,
